ACEGUA;0;0;0;4;2;0;0;0;1;0;0;0;0;0;0;;
AGUA SANTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
AGUDO;0;0;0;2;0;0;0;0;5;0;1;2;0;0;0;;
AJURICABA;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0;;
ALECRIM;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;;
ALEGRETE;1;1;0;49;4;2;3;0;58;2;3;1;0;0;1;;
ALEGRIA;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;;
ALMIRANTE TAMANDARE DO SUL;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;;
ALPESTRE;1;1;0;9;0;1;0;0;0;0;1;0;0;0;1;;
ALTO ALEGRE;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
ALTO FELIZ;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;;
ALVORADA;2;2;0;113;1;9;115;14;131;7;34;34;0;0;2;;
AMARAL FERRADOR;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;;
AMETISTA DO SUL;0;0;0;1;0;2;0;0;4;1;0;0;0;0;0;;
ANDRE DA ROCHA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ANTA GORDA;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;;
ANTONIO PRADO;0;0;0;3;1;2;0;0;9;2;3;2;0;0;0;;
ARAMBARE;0;0;0;3;2;0;0;0;2;1;1;0;0;0;0;;
ARARICA;0;0;0;9;1;0;1;0;1;0;3;0;0;0;0;;
ARATIBA;0;0;0;3;0;1;0;0;6;2;0;0;0;0;0;;
ARROIO DO MEIO;1;1;0;15;0;0;1;0;14;0;6;2;0;0;1;;
ARROIO DO PADRE;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;;
ARROIO DO SAL;1;1;0;21;1;0;0;0;3;0;8;2;0;0;1;;
ARROIO DO TIGRE;0;0;0;5;1;0;0;0;7;0;0;1;0;0;0;;
ARROIO DOS RATOS;0;0;0;4;0;2;1;0;7;2;1;3;0;0;0;;
ARROIO GRANDE;0;0;0;10;1;1;0;0;1;0;2;1;0;0;0;;
ARVOREZINHA;1;1;0;0;0;1;1;0;0;1;0;2;0;0;1;;
AUGUSTO PESTANA;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;;
AUREA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;;
BAGE;0;0;0;86;4;4;15;1;74;5;19;11;0;0;1;;
BALNEARIO PINHAL;2;3;0;16;0;0;1;0;8;1;0;1;0;0;4;;
BARAO;0;0;0;4;0;1;1;0;6;0;1;0;0;0;0;;
BARAO DE COTEGIPE;0;0;0;4;1;0;0;0;7;0;0;0;0;0;0;;
BARAO DO TRIUNFO;0;0;0;7;1;1;0;0;2;2;0;0;0;0;0;;
BARRA DO GUARITA;0;0;0;1;1;0;0;0;3;0;0;0;0;0;0;;
BARRA DO QUARAI;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;;
BARRA DO RIBEIRO;0;0;0;10;3;0;0;0;10;2;9;1;0;0;0;;
BARRA DO RIO AZUL;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
BARRA FUNDA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BARRACAO;0;0;0;3;1;0;0;0;1;2;0;1;0;0;0;;
